2022-05-08 16:34:02.025946: aud/usd,  
2022-05-08 16:44:01.960608: eur/usd,  
2022-05-08 16:53:02.199451: nzd/usd,  
2022-05-08 17:04:02.108361: eur/gbp,  
2022-05-08 17:10:02.186399: aud/usd,  
2022-05-08 17:17:01.963647: aud/usd,  
2022-05-08 17:24:01.691832: eur/usd,  
2022-05-08 17:33:02.599507: usd/chf,  
2022-05-08 17:43:02.266616: eur/usd,  
1
2022-05-08 21:01:13.003093: gbp/usd, 0
2022-05-08 21:14:13.181019: aud/usd, 0
2022-05-08 21:24:13.028471: usd/chf, 1
2022-05-08 21:33:14.707317: eur/usd, 1
2022-05-08 21:43:15.292335: usd/jpy, 2022-05-08 21:50:13.674334: gbp/usd, 2022-05-08 21:58:12.912945: gbp/usd, 2022-05-08 22:07:14.293617: usd/jpy, 1
2022-05-08 22:20:15.213139: aud/usd, 2022-05-08 22:30:17.783993: gbp/usd, 2022-05-08 22:38:13.475362: gbp/usd, 2022-05-08 23:08:48.309136: gbp/usd, 2022-05-08 23:09:13.228114: usd/chf, 2022-05-08 23:13:10.686806: usd/chf, 2022-05-08 23:17:13.594070: eur/usd, 0, 2022-05-08 23:33:55.259956: usd/jpy, 0
2022-05-08 23:38:11.286277: usd/chf, 2022-05-08 23:39:13.392823: aud/usd, 2022-05-08 23:41:15.170632: usd/chf, 2022-05-08 23:45:12.677652: eur/usd, 2022-05-08 23:48:47.531768: eur/usd, 2022-05-08 23:56:16.898736: aud/usd, 2022-05-09 00:07:14.189287: aud/usd, 2022-05-09 00:17:15.053656: aud/usd, 0, 1
2022-05-09 00:30:14.845836: aud/usd, 2022-05-09 00:39:14.244378: eur/gbp, 0, 1
2022-05-09 00:51:11.623335: eur/gbp, 2022-05-09 00:59:11.681586: gbp/usd, 2022-05-09 01:07:18.614843: usd/chf, 2022-05-09 01:14:12.753715: aud/usd, 2022-05-09 01:24:15.955028: usd/jpy, 2022-05-09 01:35:14.391609: gbp/usd, 0, 0
2022-05-09 01:44:15.628044: aud/usd, 2022-05-09 01:55:23.397557: gbp/usd, 2022-05-09 02:03:15.397627: aud/usd, 2022-05-09 02:11:15.023412: usd/chf, 0, 1
2022-05-09 02:21:16.494849: gbp/usd, 2022-05-09 02:32:15.857095: gbp/usd, 2022-05-09 02:39:14.810216: usd/chf, 2022-05-09 02:47:14.665079: usd/chf, 0, 1
2022-05-09 02:56:15.988816: usd/chf, 2022-05-09 03:03:13.551912: eur/gbp, 0, 1
2022-05-09 03:16:14.213750: usd/jpy, 0, 1
2022-05-09 03:26:14.909866: aud/usd, 2022-05-09 03:37:14.067892: usd/jpy, 0, 1
2022-05-09 03:47:15.538553: usd/chf, 0, 1
2022-05-09 03:56:15.110442: usd/jpy, 0, 0
2022-05-09 04:08:14.569442: gbp/usd, 0, 0
2022-05-09 04:19:14.921328: usd/chf, 2022-05-09 04:26:17.180530: aud/usd, 0, 0
2022-05-09 04:35:16.863696: aud/usd, 2022-05-09 04:45:15.104100: eur/usd, 2022-05-09 04:52:14.241096: eur/usd, 0, 1
2022-05-09 05:04:14.121001: gbp/usd, 0, 0
2022-05-13 18:22:41.307729: usd/chf, 2022-05-13 18:23:02.675330: usd/jpy,  
2022-05-13 18:32:03.416202: eur/usd,  
2022-05-13 18:40:03.786349: usd/jpy,  
2022-05-13 18:48:02.211628: aud/usd,  
2022-05-13 18:56:07.720448: usd/jpy,  
2022-05-13 19:03:03.991134: aud/usd, 2022-05-13 19:12:03.408550: usd/chf,  
2022-05-13 19:23:04.707378: aud/usd,  
2022-05-13 19:29:03.714300: usd/jpy,  
2022-05-13 19:38:03.921568: aud/usd,  
2022-05-13 19:46:03.173899: usd/chf,  
2022-05-13 19:54:02.522948: usd/chf,  
2022-05-13 20:04:03.811937: eur/gbp,  
2022-05-13 20:13:02.830608: usd/chf,  
2022-05-13 20:20:03.247332: usd/jpy,  
2022-05-13 20:31:02.177573: eur/gbp,  
2022-05-13 20:38:03.558365: usd/chf,  
2022-05-13 20:47:02.738488: eur/usd,  
2022-05-13 20:56:01.475125: nzd/usd,  
2022-05-13 21:05:38.109802: aud/usd, 2022-05-13 21:06:03.044197: usd/chf,  
2022-05-13 21:15:23.563358: nzd/usd, 2022-05-13 21:16:02.743982: eur/gbp,  
2022-05-13 21:24:02.303915: eur/usd,  
2022-05-13 21:33:02.880420: eur/gbp,  
